id,Url,Headline,Author,Date
1,https://www.theverge.com/23320405/apple-iphone-14-pro-max-always-on-display-screen-feature,"The iPhone 14 Pro’s always-on display, explained",Cameron Faulkner,"Sep  9, 2022,  8:00am EDT"
2,https://www.theverge.com/2022/9/9/23345286/elon-musk-twitter-third-termination-notice-letter-deal-acquisition,Elon Musk sends yet another notice trying to terminate the Twitter deal,Mitchell Clark,"Sep  9, 2022,  7:09pm EDT"
3,https://www.theverge.com/2022/9/9/23343459/roblox-age-guidelines-metaverse-ads-developer-conference-announcements,Roblox is ready to grow up,Mia Sato,"Sep  9, 2022,  1:00pm EDT"
4,https://www.theverge.com/2022/9/9/23344306/apple-watch-series-8-emergency-health-heart-monitor,"In Apple’s world, you’ll die without its watch",Nicole Wetsman,"Sep  9, 2022, 11:04am EDT"
5,https://www.theverge.com/2022/9/9/23344587/apple-iphone-14-pro-event-podcast-roundtable-vergecast,Vergecast: iPhone 14 event and our first impressions,Liam James,"Sep  9, 2022,  4:54pm EDT"
6,https://www.theverge.com/2022/9/9/23344560/instagram-reposting-share-retweet-feature,Instagram begins testing ‘reposts’ ,Jasmine Hicks,"Sep  9, 2022,  4:01pm EDT"
7,https://www.theverge.com/2022/9/9/23344834/semiconductor-joe-biden-ohio-intel-gelsinger-chips-science-subsidies,President Joe Biden speaks after groundbreaking for Intel’s $20 billion semiconductor plant,Makena Kelly,"Sep  9, 2022,  2:23pm EDT"
8,https://www.theverge.com/2022/9/9/23345058/disney-marvel-games-showcase-d23-captain-america-tron-black-panther,The biggest announcements and trailers from Disney and Marvel’s games showcase,Jay Peters,"Sep  9, 2022,  5:26pm EDT"
9,https://www.theverge.com/2022/9/7/23341577/applecare-plus-unlimited-iphone-mac-ipad-airpods-watch-repairs,Klutzes rejoice: AppleCare Plus now covers unlimited repairs,Mitchell Clark,"Sep  9, 2022,  9:46pm EDT"
10,https://www.theverge.com/2022/9/9/23345067/valve-steam-deck-repair-center-fix,Valve now has repair centers that can fix your Steam Deck,Jay Peters,"Sep  9, 2022,  6:31pm EDT"
11,https://www.theverge.com/2022/9/9/23345000/icloud-shared-photo-library-delayed-ios-16,iCloud Shared Photo Library won’t launch with iOS 16,Mitchell Clark,"Sep  9, 2022,  5:29pm EDT"
12,https://www.polygon.com/23344824/reigen-arataka-toby-fox-fan-fic-undertale-sans-tumblr-sexyman,"Sans from Undertale won the Tumblr Sexyman poll, and I haven’t known peace since ",Pete Volk,"Sep  9, 2022,  4:38pm EDT"
13,https://www.theverge.com/2022/9/9/23344308/iphone-14-preorder-apple-store-errors-shipping,Apple Store errors tripped up many iPhone 14 preorder attempts,Umar Shakir,"Sep  9, 2022, 10:43am EDT"
14,https://www.theverge.com/2022/9/9/23344694/apple-airpods-personalized-spatial-audio-sony-ear-scanning,Apple’s personalized spatial audio trick is really a Sony idea,Chris Welch,"Sep  9, 2022,  3:45pm EDT"
15,https://www.theverge.com/2022/9/9/23344749/interview-with-the-vampire-trailer-anne-rice,Check out Interview with the Vampire’s newest trailer,Ash Parrish,"Sep  9, 2022,  2:01pm EDT"
16,https://www.theverge.com/2022/9/8/23320934/sony-playstation-5-ps5-console-restock-public-queue-availability-inventory-check,You can still get a PlayStation 5 bundle from Sony and Walmart without standing in line,Sheena Vasani,"Sep  9, 2022,  1:48pm EDT"
17,https://www.theverge.com/2022/9/9/23342840/logitech-webcam-logi-capture-tune-g-hub-software-m2-m1-mac,Logitech’s webcam software is a mess,Cameron Faulkner,"Sep  9, 2022,  7:00am EDT"
18,https://www.theverge.com/2022/9/9/23344611/google-chromecast-1080p-design-leak,Google’s HD Chromecast will probably look a lot like the 4K one ,Mitchell Clark,"Sep  9, 2022,  1:44pm EDT"
19,https://www.theverge.com/23344595/philips-hue-apple-homekit-connect-how-to,How to connect Philips Hue with Apple HomeKit ,Jennifer Pattison Tuohy,"Sep  9, 2022,  1:32pm EDT"
20,https://www.theverge.com/2022/9/9/23344263/intel-arc-graphics-cards-desktop-gaming-gpu-specs,Intel reveals the specs of its new Arc graphics cards,Alice Newcome-Beill,"Sep  9, 2022, 12:59pm EDT"
21,https://www.theverge.com/2022/9/8/23343336/apple-tim-cook-imessage-blue-green-bubbles-texting-rcs,Tim Cook revealed the real reason Apple won’t fix green bubbles,Jay Peters,"Sep  8, 2022,  4:01pm EDT"
22,https://www.theverge.com/23320607/iphone-14-plus-pro-max-preorder-buy-price-release-date-apple,How to preorder the iPhone 14,Cameron Faulkner,"Sep  9, 2022, 12:35pm EDT"
23,https://www.theverge.com/2022/9/9/23344441/quentin-tarantino-pulp-fiction-nft-miramax-lawsuit-settled,Quentin Tarantino settles NFT lawsuit with Miramax,Adi Robertson,"Sep  9, 2022, 12:11pm EDT"
24,https://www.theverge.com/2022/8/23/23318956/acer-chromebook-vero-514-eco-conscious-laptop-recycling,Acer’s Vero 514 brings its ‘eco-conscious’ concept to a Chromebook,Mitchell Clark,"Sep  9, 2022, 12:10pm EDT"
25,https://www.theverge.com/2022/9/9/23344547/call-of-duty-next-activision-warzone-2-modern-warfare-2,Call of Duty Next event will showcase the future of the franchise,Ash Parrish,"Sep  9, 2022, 12:06pm EDT"
26,https://www.theverge.com/2022/9/8/23342908/apple-satellite-sos-globalstar-business-ast-lynk-spacex,How Apple’s iPhone 14 satellite link puts it up against SpaceX and others,Mitchell Clark,"Sep  8, 2022,  4:36pm EDT"
27,https://www.theverge.com/2022/9/9/23344349/lausd-warned-ransomware-threat-trickbot,LA school district was warned of ransomware threat before recent shutdown,Corin Faife,"Sep  9, 2022, 11:27am EDT"
28,https://www.theverge.com/23344325/chromebook-chrome-os-android-app-uninstall-how-to,How to uninstall apps from a Chromebook,Monica Chin,"Sep  9, 2022, 11:01am EDT"
29,https://www.theverge.com/good-deals/2022/9/9/23343420/samsung-galaxy-buds-2-pro-govee-dreamview-g1-pro-gaming-light-samsung-m8-smart-monitor-deal-sale,Samsung’s new Galaxy Buds 2 Pro are $50 off,Sheena Vasani,"Sep  9, 2022, 10:54am EDT"
30,https://www.theverge.com/2022/9/9/23342981/united-airlines-eve-air-mobililty-investment-taxi-evtol,"United Airlines invests $15 million in electric aviation startup, orders 200 air taxis",Andrew J. Hawkins,"Sep  9, 2022, 10:08am EDT"
31,https://www.theverge.com/23341046/apple-iphone-14-plus-pro-max-notch-event-announcements-watch-8-se-ultra-airpods-pro,Apple’s iPhone 14 event: the 9 biggest announcements,Emma Roth,"Sep  7, 2022,  2:57pm EDT"
32,https://www.theverge.com/23344081/fujifilm-xh2-xh2s-mirrorless-camera-xf50mm-gf2035mm-lens-hands-on-impressions,Hands-on with Fujifilm’s new 40.2-megapixel X-H2 camera,Antonio G. Di Benedetto,"Sep  9, 2022,  9:30am EDT"
33,https://www.theverge.com/23323757/apple-airpods-pro-new-second-gen-preorder-buy-price-release-date,How to preorder new AirPods Pro,Alice Newcome-Beill,"Sep  9, 2022,  8:49am EDT"
34,https://www.theverge.com/2022/9/8/23342614/asus-rog-6-gaming-phone-preorder-north-america,Asus’ ROG 6 Android gaming phones are available for preorder in North America,Alice Newcome-Beill,"Sep  9, 2022,  8:30am EDT"
35,https://www.theverge.com/2022/9/9/23344147/android-phone-call-noise-cancelation-beta,Google is working on ‘clear calling’ for Android phone calls,Thomas Ricker,"Sep  9, 2022,  6:37am EDT"
36,https://www.theverge.com/2022/9/8/23343752/apple-watch-ultra-repair-price-battery-replacement,Apple Watch Ultra repairs could be ultra-expensive without AppleCare,Mitchell Clark,"Sep  8, 2022,  8:58pm EDT"
37,https://www.theverge.com/2022/9/8/23343755/black-adam-new-trailer-dwayne-johnson-hero,New Black Adam trailer hints he could end up as a hero after all,Jay Peters,"Sep  8, 2022,  8:28pm EDT"
38,https://www.theverge.com/2022/9/8/23343550/apple-iphone-14-watch-8-price-increase-uk-eu-japan-china,Apple did raise prices with the iPhone 14 and Watch Series 8 — just not in the US or China,Mitchell Clark,"Sep  8, 2022,  8:09pm EDT"
39,https://www.theverge.com/2022/9/8/23343358/microsoft-taskbar-windows-11-2-in-1-tablet,Microsoft is testing its tablet-friendly taskbar again in Windows 11,Jasmine Hicks,"Sep  8, 2022,  6:54pm EDT"
40,https://www.theverge.com/23319085/iphone-14-vs-13-plus-pro-max-mini-comparison-specs-price-apple,How the iPhone 14 and 14 Plus compare to the Pro models — and the iPhone 13,Sheena Vasani,"Sep  8, 2022,  5:54pm EDT"
